!4+ABv	  00000000000000000000000017F7E829  EEEE3333444411112222888833334444666633332222DDDDEEEE
  .~L?c__	  00000000000000000000000049771803  BBBB7777444433333333CCCC00009999DDDDAAAA22221111CCCC
  /#iEZ\:	  00000000000000000000000028620465  444411118888FFFFFFFF6666AAAA6666777733339999AAAA2222
  /(6?M"Z	  000000000000000000000000352417AF  77777777EEEE22227777EEEEBBBBFFFF4444CCCC222255550000
  //Vj?^L	  0000000000000000000000003D46DD64  66664444AAAAAAAADDDD111111110000AAAA1111CCCCAAAADDDD
  /6o'8?k	  00000000000000000000000019171825  EEEE77775555CCCC9999BBBB88880000CCCC00007777EEEE2222
  /7A^z6@	  000000000000000000000000519F7E14  EEEEEEEE111100000000DDDD4444DDDDDDDDAAAA66663333DDDD
  /9QZS8E	  0000000000000000000000000674BC30  11115555333300002222DDDD5555555588882222999911111111
  /@UD%tA	  000000000000000000000000141F0857  EEEE8888FFFF4444CCCCEEEEAAAA3333BBBBFFFF000022228888
  /e:clte	  000000000000000000000000076ED8F8  11113333EEEE000066663333BBBB5555888833333333AAAA9999
  /wykZZ^	  0000000000000000000000004A6DEB82  55558888EEEE44444444EEEE8888DDDDDDDDAAAA77775555FFFF
  /x9"GPA	  000000000000000000000000186D3221  222233338888999933335555BBBB3333FFFFFFFF999922226666
  0 #lxWf	  0000000000000000000000003E89D8F8  33331111DDDDFFFF999999998888BBBB111133333333AAAA9999
  0#67@-!	  0000000000000000000000001C05BB1A  CCCCEEEE555522228888DDDD5555EEEE000099996666AAAA7777
  0-!g'Ta	  0000000000000000000000004E288918  AAAA5555CCCC88884444DDDD1111AAAAFFFF7777FFFF00009999
  0-.1k8P	  000000000000000000000000062CD84C  5555BBBB888888884444DDDD8888999911117777777722225555
  0BgiO^`	  0000000000000000000000002F3C7B88  77779999DDDD9999EEEEAAAA1111999955552222AAAADDDD9999
  0C]M:dd	  000000000000000000000000328F018F  999933331111EEEEFFFF66667777666688885555888877770000
  0L..1}"	  00000000000000000000000005585D24  9999CCCCAAAA5555CCCC777788884444CCCC55559999EEEEDDDD
  0NcvPai	  000000000000000000000000467826BD  888899991111DDDD66666666666666664444BBBB99990000AAAA
  0Q>K?3z	  000000000000000000000000515BB3F9  6666BBBBAAAA22226666FFFFFFFF2222FFFFAAAAFFFF8888EEEE
  0X:E ]4	  00000000000000000000000033CDB93D  111155552222222299991111AAAAEEEE0000444422228888AAAA
  0ZfjL=.	  000000000000000000000000356108DA  5555AAAA4444DDDDEEEE11115555CCCC444499997777EEEE7777
  0^i:G8)	  00000000000000000000000010A4401C  AAAABBBB8888FFFF8888444444446666AAAA5555999911115555
  0fMf,lY	  00000000000000000000000043601271  BBBB55555555333311116666EEEE888855552222BBBB55556666
  0m&yuhi	  0000000000000000000000000DB9C300  CCCCEEEE6666FFFF8888AAAAAAAA555555551111111100001111
  0s!HL"\	  00000000000000000000000003ECBB3D  0000BBBB5555333399996666DDDDEEEEAAAAFFFF00008888AAAA
  0uwyhW<	  0000000000000000000000002CE695A2  EEEE8888DDDDFFFFAAAAFFFF00006666888811115555BBBBFFFF
  0u{>5q`	  0000000000000000000000004BD3B038  666666663333AAAA0000FFFF22224444AAAA2222777766669999
  0v.NC2c	  0000000000000000000000000B2D80F3  22221111CCCC6666EEEE66667777999999996666AAAA2222CCCC
  1%jUK-|	  000000000000000000000000151A207E  8888444466669999666611112222FFFF22220000CCCCFFFF3333
  1(JM|eO	  0000000000000000000000001CC57067  1111DDDD00002222EEEE55554444222211115555888811118888
  18c}R.9	  0000000000000000000000001D965D03  33339999AAAAFFFF88889999DDDDEEEE6666AAAADDDD1111CCCC
  1>xdz<x	  00000000000000000000000022731EA1  0000CCCCFFFFDDDD22221111FFFFCCCC000022220000AAAA6666
  1B7l;O$	  00000000000000000000000033444B84  444433331111FFFF9999CCCC000022227777777700000000DDDD
  1C70XSu	  00000000000000000000000029D41C36  EEEE55556666FFFF99999999999900004444AAAA33331111BBBB
  1FC:$%\	  0000000000000000000000002733DD34  EEEEDDDD22229999EEEE777744442222AAAA4444CCCC9999DDDD
  1H1enuM	  00000000000000000000000039BBA1E6  8888FFFF66664444BBBBBBBBBBBBAAAA7777888855552222BBBB
  1INfgW\	  00000000000000000000000004129FF2  33333333CCCC33332222444444440000FFFF1111AAAAAAAAFFFF
  1OXtj1_	  0000000000000000000000003B1DB7E5  777744445555BBBBEEEE99990000BBBB77772222AAAA22222222
  1`,gDQT	  0000000000000000000000000EAD050D  4444AAAA2222DDDDEEEEBBBB33333333AAAA333300003333AAAA
  1jMkkB/	  00000000000000000000000040A701B1  1111777711112222FFFF0000AAAA1111CCCCDDDDEEEE11116666
  1u0o,;p	  0000000000000000000000002DE2BF3B  DDDD1111AAAA2222BBBB4444DDDD5555BBBB88886666EEEE4444
  2!fu^!]	  00000000000000000000000010002664  DDDDFFFF1111EEEE55559999888844441111BBBBFFFFAAAADDDD
  2+&lrR>	  00000000000000000000000044895F89  66667777333300005555EEEEDDDD222277776666EEEE7777EEEE
  2. &TOC	  00000000000000000000000047CABEE9  BBBB88883333000088889999BBBBEEEE2222111122221111EEEE
  21&i3jm	  0000000000000000000000000CE72795  BBBB6666BBBBEEEEFFFF999911110000EEEEFFFF6666FFFF2222
  22Hk#W=	  0000000000000000000000001C7DFFCA  22228888EEEECCCCBBBB11113333CCCC888877774444BBBB7777
  27=p:,=	  0000000000000000000000004DDB7902  FFFF2222EEEEEEEE77770000CCCCFFFF22222222FFFFDDDDFFFF
  28]ig#g	  000000000000000000000000038EC94F  CCCCAAAADDDD1111222266660000AAAADDDDCCCC0000BBBB0000
  2;oEW+S	  000000000000000000000000020D0B5F  00001111000000007777000022223333AAAA4444CCCCAAAA0000
  2H7oKvB	  0000000000000000000000002273B0CF  7777DDDD44442222EEEE55554444AAAA1111FFFF999933330000
  2S~<=gp	  000000000000000000000000275EAB40  0000EEEE999933338888AAAACCCC1111666677777777CCCC1111
  2UhQ_nC	  00000000000000000000000028AC2997  555588888888222222226666FFFF9999AAAA88886666EEEE8888
  2XG^&LY	  0000000000000000000000003DC6BF53  DDDDDDDDCCCC2222777766664444CCCC888800001111CCCCCCCC
  2Yv0mo_	  000000000000000000000000136C62F6  2222BBBBBBBB777799996666CCCC0000AAAABBBB33335555BBBB
  2ZXKaI0	  0000000000000000000000004FA24944  00007777444400001111AAAACCCCFFFF2222777777774444DDDD
  2\1F>xE	  0000000000000000000000003B3E25A8  CCCC2222CCCC22220000444400004444BBBB3333CCCC33339999
  2\]p\O.	  0000000000000000000000005065E6FF  CCCC3333888888885555111177770000EEEE9999999900000000
  2_gu{4@	  00000000000000000000000021144886  11110000999955559999BBBBFFFFDDDD6666CCCCBBBB0000BBBB
  2a@o_?N	  0000000000000000000000002AA42958  3333AAAA000022229999FFFF11113333EEEECCCC5555CCCC9999
  2h4R=`Y	  000000000000000000000000095FDF4A  88889999AAAA77779999FFFFBBBB7777CCCC2222333333337777
  2i[Qlj5	  0000000000000000000000000D488BBE  EEEECCCCEEEE5555EEEE66664444555588887777AAAABBBB3333
  2sDc+f8	  0000000000000000000000004F6C8AF3  444444441111FFFF0000777722226666CCCC888800002222CCCC
  2v8el[I	  00000000000000000000000004522FDC  DDDD5555999944449999222299994444EEEE4444EEEE55555555
  2xZLqX$	  000000000000000000000000512F8C11  DDDD888822222222DDDD4444BBBB55555555CCCCAAAABBBB6666
  3%(_Aj>	  00000000000000000000000014DC6ACD  5555CCCC9999CCCCCCCCCCCCBBBB7777AAAAFFFF44447777AAAA
  3,YSHP8	  0000000000000000000000001C068191  777744444444AAAA777744440000888833333333111133336666
  3-*=]qO	  0000000000000000000000001FBE0549  6666CCCC6666DDDD000077772222EEEEFFFF11116666BBBBEEEE
  3/e@Bw-	  000000000000000000000000094B60D8  333344440000DDDD44441111BBBB333344442222000044449999
  31gMVe'	  0000000000000000000000003B09BD81  DDDDEEEEDDDD4444EEEEFFFFBBBBDDDD555533334444CCCC6666
  31v??uD	  0000000000000000000000001DC8429E  1111666644444444222288880000000011115555999955553333
  33D}\4$	  0000000000000000000000001379309D  99992222222200000000EEEECCCCAAAA88888888CCCC2222AAAA
  33P*ic"	  00000000000000000000000024E8D5B6  AAAA66667777AAAA6666CCCCEEEE99998888444477779999BBBB
  37#4Lh+	  000000000000000000000000343A3424  2222CCCCFFFF33330000555500009999000011116666EEEEDDDD
  392Q!nM	  0000000000000000000000004AE2AE09  6666AAAAAAAADDDD2222BBBB0000DDDD999911113333FFFFEEEE
  3@Kk!7E	  0000000000000000000000000D84929E  11111111AAAA0000FFFFCCCC1111444499994444999955553333
  3Cg?_P 	  000000000000000000000000071F334F  AAAA33330000AAAADDDDCCCCCCCC33338888DDDD6666BBBB0000
  3DTSCJ?	  0000000000000000000000000A7C0F7A  55555555EEEE9999BBBBBBBBFFFF6666CCCCAAAA7777CCCC7777
  3H)'=A!	  0000000000000000000000003B8DE532  77770000DDDD0000666666669999555555554444AAAA6666FFFF
  3I@yk7<	  00000000000000000000000028C26BAB  55554444666644440000AAAACCCC222211116666555577774444
  3Kn}YGp	  00000000000000000000000036554DB4  CCCC44448888EEEE333311114444BBBB0000888822221111DDDD
  3Likr.[	  0000000000000000000000001B3770B4  8888555577773333DDDD9999FFFF33337777444433331111DDDD
  3V/zMp@	  0000000000000000000000001CB9C892  11112222DDDD99998888FFFFFFFF666666669999CCCC8888FFFF
  3Y-K+'4	  0000000000000000000000003267A729  66668888999944440000BBBBEEEEBBBBFFFFEEEEBBBBDDDDEEEE
  3a\{6%i	  00000000000000000000000013D2B7A3  2222DDDDBBBB8888BBBB9999EEEE99996666888844447777CCCC
  3c>XshT	  0000000000000000000000003638A6AA  8888DDDDBBBB000022225555DDDD0000FFFF5555555555557777
  3dX|e}2	  00000000000000000000000026858643  000055555555DDDD8888CCCC33336666EEEEBBBB7777DDDDCCCC
  3n:QAp!	  00000000000000000000000031ED47EF  666677778888FFFF444444444444CCCC4444CCCC222211110000
  3q%tiaQ	  0000000000000000000000001B211199  0000EEEEBBBB5555AAAABBBB55559999EEEE5555EEEEEEEEEEEE
  3w%LC_)	  0000000000000000000000001B9B4673  DDDD000011118888FFFF999988889999CCCC1111CCCCAAAACCCC
  3wGBl&S	  00000000000000000000000038A1675C  DDDD999955551111111155556666EEEE3333CCCC0000DDDD5555
  3wVg&0)	  0000000000000000000000004C5BC21B  AAAAFFFF44443333CCCC555500003333CCCC3333EEEE00004444
  3{K1<0c	  00000000000000000000000003913456  7777BBBBBBBBCCCCCCCC00002222111188881111DDDD7777BBBB
  3{RiZ&)	  0000000000000000000000000C952C79  0000222266662222CCCC6666EEEE6666CCCC5555BBBB0000EEEE
  4#x0TE_	  00000000000000000000000028334723  FFFFCCCC6666BBBB1111DDDD55550000BBBB2222CCCCFFFFCCCC
  4'\!"LB	  00000000000000000000000026546F2E  6666AAAAEEEE77772222EEEE4444AAAAFFFF2222888800003333
  41Eu"}T	  0000000000000000000000002191E0A2  EEEECCCCDDDD3333EEEEDDDDCCCC3333222233336666BBBBFFFF
  49G0~g_	  0000000000000000000000002E9B4912  FFFF99996666DDDD44446666CCCC333333335555EEEE0000FFFF
  49p0T-C	  0000000000000000000000002AD6B514  CCCC9999CCCCCCCC66660000EEEE1111BBBBCCCC33333333DDDD
  4WFbZtG	  00000000000000000000000018B3E96E  FFFFDDDDEEEE9999AAAA666677772222DDDD44442222CCCC3333
  4].]c+b	  000000000000000000000000210DB990  9999DDDD7777CCCC77771111BBBB3333DDDDFFFFEEEE33331111
  4`#5Il"	  00000000000000000000000034FCA7E0  777799999999EEEE2222BBBB0000DDDDCCCC55558888AAAA1111
  4`Go"RU	  0000000000000000000000000C087AC0  EEEE7777222288888888AAAA11118888EEEECCCCAAAA44441111
  4g%]Xt-	  00000000000000000000000040980A4C  DDDD111111117777EEEEEEEE555500009999DDDDDDDD22225555
  4kwCI0A	  0000000000000000000000000D0F08C9  000088887777FFFFDDDD8888CCCCFFFFFFFF2222FFFF3333EEEE
  4o>@:b+	  00000000000000000000000030455ED5  FFFFAAAAAAAA9999EEEE4444BBBBDDDDCCCC33335555BBBB2222
  4v:.=D]	  000000000000000000000000345A7ACC  AAAAAAAA2222BBBBEEEE7777EEEE4444BBBB00002222AAAA5555
  4vMwhUh	  000000000000000000000000424EEDDA  88884444EEEEAAAA99994444CCCCDDDD4444EEEE6666EEEE7777
  4||bGJ>	  00000000000000000000000046600855  7777555511113333BBBB22226666555500002222000033332222
  5/-K =@	  00000000000000000000000015FA9E7E  EEEE00009999000000003333BBBB22221111AAAA6666FFFF3333
  5/]C@K}	  00000000000000000000000044818BA2  CCCCEEEEFFFFBBBBFFFFEEEE44446666555577777777BBBBFFFF
  52}Y_5t	  0000000000000000000000001EB57423  CCCC3333CCCC88880000CCCC0000555522224444FFFFFFFFCCCC
  56"NS,T	  00000000000000000000000003DD7B61  FFFF88888888BBBB8888000000009999FFFF55551111EEEE6666
  58wom)"	  0000000000000000000000005137CF27  FFFFFFFFEEEE1111666699996666111188883333111155558888
  5;<r{[X	  00000000000000000000000039BBE668  BBBBAAAAEEEE55553333111166669999DDDDEEEE000077779999
  5>Od!)-	  0000000000000000000000004313E113  FFFF99994444EEEE99998888888811115555CCCCCCCC0000CCCC
  5G>ZQrc	  0000000000000000000000003ACAB448  BBBB0000BBBB4444000077773333333344449999777711119999
  5G\d8d>	  00000000000000000000000004707BBB  777700007777CCCC66663333DDDD111111110000222266664444
  5V1!o-m	  0000000000000000000000002DAB79EA  222244445555CCCC33339999CCCC2222BBBB2222777711117777
  5XV^sd0	  00000000000000000000000043D2209D  CCCCAAAA6666222288880000AAAA000022221111CCCC2222AAAA
  5]$|L3c	  0000000000000000000000000CD153F7  EEEE5555BBBB000011113333FFFF888888885555888888888888
  5]wSnuY	  0000000000000000000000000B07D00E  111188884444666677771111CCCC777755554444CCCCAAAA3333
  5a_fSPQ	  000000000000000000000000088AAEBE  77777777DDDD8888DDDD2222BBBB8888CCCCBBBB3333BBBB3333
  5b#K]|K	  0000000000000000000000001874DD35  0000BBBB555555551111FFFFDDDDBBBB8888AAAA444455552222
  5pb'S*u	  0000000000000000000000004E213637  FFFF5555AAAADDDD4444EEEEEEEE00000000AAAAEEEE44448888
  5uTdK4>	  0000000000000000000000000C69E6A1  FFFFDDDD666655551111555555553333222299998888AAAA6666
  5w*bGa0	  0000000000000000000000000E2CDA3A  3333FFFF444499993333FFFFBBBBBBBB44446666000000007777
  5y!3S7L	  00000000000000000000000021D1396B  8888EEEE999911117777BBBB55555555CCCCAAAABBBBBBBB4444
  5zOx\z?	  0000000000000000000000004DEC17D3  66664444AAAAFFFF4444000099997777EEEE555511114444CCCC
  6#JJ5H'	  0000000000000000000000000BDB36E4  33332222BBBB1111DDDDFFFF44442222DDDDBBBB55552222DDDD
  6.)h3cq	  000000000000000000000000322A67B5  2222CCCC55555555DDDDBBBBCCCC55556666AAAA5555DDDD2222
  61LVLu_	  0000000000000000000000003FCC4DDE  3333FFFF5555222277772222EEEECCCC3333CCCC777711113333
  64!:A`o	  0000000000000000000000004FB50E52  22220000DDDD33336666CCCC6666777700002222DDDDCCCCFFFF
  68i+]M$	  000000000000000000000000502B5C37  6666DDDD55553333AAAA8888333388880000CCCC888844448888
  6Br'o:v	  0000000000000000000000001A67BB45  AAAACCCC44445555BBBB000099993333555544443333CCCC2222
  6JYg]C|	  00000000000000000000000012A2364B  5555AAAADDDD4444DDDD111199997777333377770000DDDD4444
  6R&4!:8	  00000000000000000000000016F8A86A  3333AAAABBBB999911111111CCCCCCCCCCCC2222222299997777
  6S$mdP4	  0000000000000000000000003679E063  111166661111888844448888DDDD8888999966667777BBBBCCCC
  6_CSHJL	  0000000000000000000000001CF2EA82  33330000CCCCCCCCEEEEEEEE777722222222666644445555FFFF
  6eol.A,	  000000000000000000000000190880E8  222222224444555577774444999999995555CCCCBBBBFFFF9999
  6mm~Lht	  0000000000000000000000003B4AC6DC  888877775555EEEE88886666AAAA33330000EEEEBBBB55555555
  6nY{*vq	  00000000000000000000000009BAE14F  AAAA999922226666BBBB2222333388883333AAAA8888BBBB0000
  6n[&xUI	  000000000000000000000000400A5EE9  FFFFEEEE888844442222EEEE88880000FFFF777722221111EEEE
  6{sp=6#	  0000000000000000000000000689E585  DDDDCCCC7777999922227777AAAA6666DDDD6666777788882222
  6}=H;bB	  0000000000000000000000000F4946DB  77776666DDDDEEEE22229999CCCCCCCCDDDDEEEEDDDD44444444
  7 :Y hQ	  0000000000000000000000000913DF44  333311113333AAAA22222222555588881111EEEE99994444DDDD
  7!o%m>l	  0000000000000000000000001643BDF7  88884444DDDD44445555CCCCCCCC99997777AAAAEEEE88888888
  7&ZYihi	  0000000000000000000000000E6A9A11  8888EEEEFFFF777755559999DDDDCCCCAAAAEEEECCCCBBBB6666
  7)^q'}%	  00000000000000000000000040488538  33333333888866669999BBBBCCCCBBBB66661111EEEE66669999
  7Mmh7,^	  00000000000000000000000029550464  111177777777444411110000BBBB8888000044449999AAAADDDD
  7U;4Vi7	  0000000000000000000000001C8EBA64  3333DDDDBBBB44440000DDDD7777FFFF88881111BBBBAAAADDDD
  7W_exXy	  00000000000000000000000032878605  DDDD33336666CCCC66664444666611114444CCCC333300002222
  7XX,rCh	  00000000000000000000000025A364DF  0000BBBBAAAA2222DDDD777788881111EEEEFFFF333322220000
  7ps1fJ-	  00000000000000000000000038E500D0  EEEE9999CCCCCCCC8888000055557777DDDDDDDD9999FFFF1111
  7q!Ss~"	  000000000000000000000000128D4A07  99993333000099990000BBBB3333CCCC22225555AAAA77778888
  7t<ZSeD	  0000000000000000000000003F714CCA  DDDDDDDD9999CCCC00009999999922227777BBBBBBBBBBBB7777
  8(-+xMu	  0000000000000000000000002B665560  8888AAAA11111111111155557777EEEE11119999555522221111
  8/|lzS(	  00000000000000000000000040F55FA8  777766662222DDDD66664444333377778888DDDDAAAA33339999
  85YIfU\	  0000000000000000000000000AF7CC65  DDDD3333666677773333DDDDBBBBDDDD777733331111AAAA2222
  8APJ2x%	  0000000000000000000000000D5A8BAA  33339999EEEEEEEE44445555EEEEDDDDAAAAEEEE444455557777
  8B/Yqcv	  0000000000000000000000004442FBA3  6666BBBB7777DDDDCCCCDDDD00004444CCCC888800007777CCCC
  8DrC[up	  0000000000000000000000001562B036  555555550000AAAADDDD99998888555566669999FFFF1111BBBB
  8FH.;O'	  000000000000000000000000293600E4  7777DDDD3333FFFFFFFFFFFF77779999BBBB666633332222DDDD
  8IVa69o	  0000000000000000000000003F1438C6  44448888000088883333AAAA0000BBBBFFFFDDDDFFFFCCCCBBBB
  8P'=OIR	  00000000000000000000000040784F5B  66666666CCCCEEEE6666777777771111CCCC9999CCCCCCCC4444
  8V$.n6-	  0000000000000000000000001CE96E3D  999922220000555533336666AAAA55553333444455558888AAAA
  8ZncrHO	  00000000000000000000000021F20043  EEEE5555FFFFDDDD33335555DDDD1111FFFFDDDDDDDDDDDDCCCC
  8iY~@)F	  000000000000000000000000378C3B41  6666888877773333888833336666DDDDAAAACCCCDDDD00006666
  8np?.o#	  0000000000000000000000004849CC1E  EEEE33330000BBBB3333999955552222BBBB1111DDDDDDDD3333
  8s<x_Y>	  000000000000000000000000113FDDEC  3333AAAA8888EEEE3333888855556666EEEE8888111100005555
  8z..kpL	  0000000000000000000000001A198A18  1111EEEEEEEE2222FFFFBBBB77777777FFFF9999AAAA00009999
  9!^Y~h*	  000000000000000000000000471931C3  BBBBFFFF99993333AAAA0000666655558888CCCC44445555CCCC
  9#[ggy{	  0000000000000000000000003812733B  666633334444AAAADDDDDDDD33331111444499992222EEEE4444
  9'(cg(_	  0000000000000000000000002DD170CB  CCCC1111EEEE88881111444488885555EEEE2222EEEE55554444
  9)o4<GM	  0000000000000000000000002FDE8765  33333333EEEEEEEECCCC77770000777788881111EEEEAAAA2222
  9*GQ~$2	  00000000000000000000000013A25ECA  BBBB8888111188886666EEEE3333CCCCAAAABBBB1111BBBB7777
  9J9q:m~	  00000000000000000000000017369867  77775555EEEEAAAA888877775555CCCCDDDD3333000011118888
  9NCZX`1	  0000000000000000000000000D17FB44  1111BBBBDDDD7777DDDD2222CCCC6666BBBB1111DDDD4444DDDD
  9XbG0d{	  0000000000000000000000002BE10432  99998888888899996666AAAA222299994444AAAA77776666FFFF
  9[8:<ln	  000000000000000000000000418FA0D7  7777DDDD0000CCCC33334444CCCC9999888844447777AAAA8888
  9[{v++j	  00000000000000000000000027ED1D72  1111BBBB44440000BBBB2222111111119999999933332222FFFF
  9]L3mzJ	  00000000000000000000000004812D75  999900002222555500006666AAAA00009999EEEE222211112222
  9e.]V%$	  00000000000000000000000012119FBD  33331111222244448888BBBB99992222DDDD555588880000AAAA
  9fy)06a	  000000000000000000000000458819A4  DDDD9999888833334444BBBBBBBBCCCC5555333333336666DDDD
  9i![3>b	  0000000000000000000000003BB0DD7C  AAAA2222AAAAEEEE5555EEEEAAAABBBB33335555888833335555
  9u.]V5D	  0000000000000000000000004A7C5A64  88884444AAAA77779999444466665555DDDDFFFFBBBBAAAADDDD
  9w&9r<:	  00000000000000000000000031C0DF7F  77772222CCCC88882222AAAACCCC44442222EEEE000088880000
  9ys,A\*	  00000000000000000000000011FA0301  9999222200002222EEEECCCCBBBBAAAAAAAA6666BBBB44446666
  9|mxFjd	  000000000000000000000000062C24AB  AAAA66669999EEEE88889999EEEE4444EEEEDDDDCCCC77774444
  :%<fx*v	  0000000000000000000000002720AE25  9999AAAA88885555444466669999BBBBEEEECCCC1111EEEE2222
  :+_|7AZ	  000000000000000000000000476B1EE7  FFFFDDDD99990000EEEE88883333BBBB99997777999999998888
  :.o^G<e	  0000000000000000000000002AFB166E  8888CCCC77772222AAAA7777AAAA55554444BBBB9999CCCC3333
  :0B2$Ox	  00000000000000000000000034C6F308  CCCCBBBB4444DDDDFFFF44448888333300006666555555559999
  :4eSgg+	  0000000000000000000000001F265224  7777BBBB111122221111000088886666888866660000EEEEDDDD
  ::)<7xm	  00000000000000000000000024AFD517  7777BBBB333322228888AAAACCCCCCCC7777EEEEBBBB66668888
  :;;.87B	  0000000000000000000000000BCF0088  8888444455557777555577777777FFFF9999FFFF1111DDDD9999
  :Lyn/|K	  0000000000000000000000004B860B97  222299995555AAAA1111444488883333444466664444EEEE8888
  :NFvjlP	  0000000000000000000000001F8C6B09  CCCCFFFFAAAA1111999955555555FFFF11113333EEEEFFFFEEEE
  :PpG\2N	  0000000000000000000000001655EA8A  3333FFFF0000BBBB3333DDDDFFFF999988883333CCCCFFFF7777
  :SqtWC>	  0000000000000000000000000E4EDF49  FFFF7777EEEE7777FFFF66666666999933330000CCCCBBBBEEEE
  :UL.^SH	  0000000000000000000000002542EFC9  1111AAAA1111AAAAFFFFCCCC9999AAAA7777888800003333EEEE
  :VeNKm$	  00000000000000000000000029FF03B6  DDDD3333555522220000BBBBDDDD44449999333311119999BBBB
  :[])GrF	  0000000000000000000000003BC6E504  33334444555544440000FFFF11112222BBBB888888888888DDDD
  :s.GET,	  0000000000000000000000002655319C  FFFF44440000EEEE444444447777888855550000999999995555
  :tV>w@=	  0000000000000000000000002AD2E4B3  000033331111DDDDCCCC88880000BBBBFFFFFFFF22226666CCCC
  :v%1:i;	  00000000000000000000000035BCADC9  BBBB55552222FFFFDDDD8888666611111111BBBB22223333EEEE
  :yNk18v	  0000000000000000000000001D09D281  22225555666688884444DDDD99997777EEEE22227777CCCC6666
  :z6Q2vx	  000000000000000000000000351710CF  2222000022222222AAAA55559999888866669999999933330000
  :z;u1.J	  0000000000000000000000002A6AE40B  444466663333FFFFDDDD3333AAAA555533333333777711114444
  :{u]L#c	  0000000000000000000000002C7535D0  FFFF33339999CCCC44446666BBBBBBBBAAAA55550000FFFF1111
  :~~yOcJ	  000000000000000000000000233470C9  000033336666CCCCCCCCEEEE00004444DDDD000077773333EEEE
  ;#,DlEy	  0000000000000000000000004644541D  8888555522225555CCCCCCCCAAAADDDD77771111CCCCAAAAAAAA
  ;(t&9T>	  0000000000000000000000003E97DE1A  2222EEEE1111AAAADDDDBBBB3333EEEE44445555FFFFAAAA7777
  ;4WI<nx	  0000000000000000000000000DD36CFD  5555555544441111BBBB888899991111666655558888CCCCAAAA
  ;5H$b%T	  00000000000000000000000019EA9FA9  5555DDDDCCCC000055552222000022226666777777775555EEEE
  ;5YThct	  000000000000000000000000007D3DF5  2222AAAACCCCFFFFAAAA44445555EEEE44442222DDDD99992222
  ;@,ac'U	  0000000000000000000000002AE4172A  DDDD8888FFFFEEEE2222AAAA77770000999955556666DDDD7777
  ;B^Jl0D	  0000000000000000000000001C85C09F  111100009999444422228888AAAA444499997777777766660000
  ;DnbP"@	  0000000000000000000000001CD7322D  EEEE000077778888BBBB4444666622221111CCCC66661111AAAA
  ;FU$7xZ	  0000000000000000000000003BB71DF8  2222AAAABBBB77770000BBBB111177773333FFFFAAAAAAAA9999
  ;Nr;Nx>	  0000000000000000000000001765ADFD  55557777DDDD3333777722229999CCCCFFFFEEEEFFFFCCCCAAAA
  ;Swz/Zf	  00000000000000000000000021DBEEEC  2222222299998888999911113333AAAA33335555CCCC00005555
  ;Uq@~Vx	  000000000000000000000000365BF736  4444FFFF44442222BBBB111122229999CCCCAAAA44441111BBBB
  ;\Y>(7F	  0000000000000000000000000D45152F  CCCCDDDDBBBBCCCC44445555555522229999AAAA4444DDDD0000
  ;`p<Pjd	  0000000000000000000000000C7D0BAE  44443333555555550000EEEEBBBB111177771111555588883333
  ;bCeKg"	  00000000000000000000000012887E03  6666EEEE9999EEEEEEEE6666BBBBCCCC66669999CCCC1111CCCC
  ;efS*~-	  0000000000000000000000004EC935A6  3333AAAACCCCFFFF55550000CCCC222266669999CCCC6666BBBB
  ;h)\VeM	  00000000000000000000000034C8A918  BBBB9999FFFF3333AAAA6666BBBBFFFF2222DDDDFFFF00009999
  ;o`y"4!	  00000000000000000000000016BB0CBF  DDDDFFFFAAAA1111FFFFAAAA66663333DDDD3333333344440000
  ;tE^%|;	  0000000000000000000000004BE2D3B2  33331111444400000000AAAA99991111000099995555EEEEFFFF
  ;viLp'R	  000000000000000000000000021FB6DA  33332222111177778888444433333333EEEE66661111EEEE7777
  <0Lm,3a	  0000000000000000000000000F43A61A  5555DDDD8888BBBB22227777333322228888BBBB7777AAAA7777
  <3}]lm+	  0000000000000000000000002D05415D  8888111133335555AAAA555588887777CCCCDDDDDDDD6666AAAA
  <Mmeizr	  0000000000000000000000000E79254B  AAAA7777000066668888BBBB0000EEEEAAAA55551111DDDD4444
  <SfG,0n	  0000000000000000000000002C274790  EEEE1111000011112222CCCC6666888855553333888833331111
  <Tojs$R	  000000000000000000000000253BDD07  5555AAAAAAAAFFFF33332222AAAADDDD4444AAAA777777778888
  <U{RE#u	  0000000000000000000000000E4CE2B3  CCCCEEEE88880000BBBBFFFFEEEE66664444555544446666CCCC
  <V,kgbE	  00000000000000000000000023E4C87C  666633331111DDDD1111BBBB1111777799999999111133335555
  <W(R6f 	  0000000000000000000000004C1C2995  9999222222227777BBBB000011119999CCCC66664444FFFF2222
  <WuR'<i	  0000000000000000000000001C2A3E69  FFFFBBBBCCCC2222FFFF00000000EEEE66664444EEEE9999EEEE
  <Y5+jjP	  00000000000000000000000009A5CF5E  3333666600006666BBBBEEEEAAAACCCCFFFF7777333399993333
  <elF&A5	  00000000000000000000000006FDB4C1  AAAADDDD2222AAAA0000EEEEDDDD4444CCCC6666FFFF88886666
  <j|JM{1	  0000000000000000000000004C2B9CC0  4444AAAA9999FFFFAAAAFFFFAAAA4444FFFFAAAA000044441111
  <qQ@L"V	  0000000000000000000000002425796E  66668888CCCC11118888AAAA6666EEEE4444FFFF2222CCCC3333
  <v;=@(R	  0000000000000000000000001295BB34  66660000CCCC99991111BBBB0000CCCCFFFF555566669999DDDD
